Name,Goal,Status,Currency,DeadlineDate,NamefromUrl,N_Category,N_Location,N_min_Price,N_FAQ,N_Updates,N_Comments,N_ScrapeDate,D_Target,D_backers,D_TotalAmountPledged,D_FAQ,D_updates,D_Comments,D_StartDate,D_EndDate,D_ended
Chronicle X by Archon Studio,40000,live,USD,01-06-2018,chronicle-x-by-archon-studio,Tabletop Games,Boise ID,0,4,5,233,12-18-2017,1,4075,508956,0,0,0,12-18-2017,01-06-2018,ended
Eat Your Victory;An Actual Play Pathfinder Tabletop Podcast,500,live,USD,02-11-2018,eat-your-victory-an-actual-pay-tabletop-podcast,Tabletop Games,Boise ID,10,0,0,0,01-20-2018,0,5,183,0,3,6,01-20-2018,01-30-2018,ended
Das Geheimnis der Tempel,1500,live,EUR,02-07-2018,das-geheimnis-der-tempel,Tabletop Games,Bonn Germany,15,0,0,2,01-24-2018,1,189,3299,0,0,0,01-24-2018,02-07-2018,ended
Dragon Canyon,8000,live,EUR,11-28-2017,dragon-canyon,Tabletop Games,Bonn Germany,25,1,5,29,11-22-2017,1,154,10021,0,0,0,11-07-2017,11-28-2017,ended
Black Lotus Game,11000,live,USD,01-13-2018,black-lotus-game,Tabletop Games,Boone NC,4,0,0,0,12-13-2017,0,4,44,0,0,0,12-13-2017,01-12-2018,ended
Story Time Cards: A Collaborative Storytelling Card Game,20000,live,USD,01-12-2018,story-time-cards-a-collaborative-storytelling-card,Tabletop Games,Boston MA,30,0,0,0,11-28-2017,0,43,3196,0,2,7,11-28-2017,01-12-2018,ended
Worlds Unknown: Heirs of Dolvwenned,8500,live,USD,12-08-2017,worlds-unknown-heirs-of-dolvwenned,Tabletop Games,Boston MA,5,0,4,0,11-22-2017,0,23,2112,0,5,0,11-08-2017,12-08-2017,ended
X-Case Clear Expandable Miniatures Display and Transport,3500,live,USD,11-25-2017,x-case-clear-expandable-miniatures-display-and-tra,Tabletop Games,Bothell WA,12,4,16,49,11-22-2017,1,205,14246,0,0,0,10-20-2017,11-24-2017,ended
DrakenStone Modular Dungeon Terrain,1000,live,USD,11-25-2017,drakenstone-modular-dungeon-terrain,Tabletop Games,Boulder CO,3,0,0,0,11-22-2017,0,9,532,0,0,0,10-26-2017,11-25-2017,ended
The Halfknechts,500,live,GBP,01-08-2018,the-halfknechts,Tabletop Games,Bournemouth UK,25,0,1,8,12-25-2017,1,160,10962,0,0,0,12-25-2017,01-08-2018,ended
America Falling,10000,live,USD,02-14-2018,america-falling,Tabletop Games,Bowie MD,25,0,0,2,01-14-2018,1,250,17672,0,0,0,01-14-2018,02-13-2018,ended
Halls of Balthorg - Awesome Goblin Dungeon Audio,2000,live,USD,11-24-2017,halls-of-balthorg-awesome-goblin-dungeon-audio,Tabletop Games,Boynton Beach FL,17,0,0,5,11-10-2017,1,82,2073,0,0,0,11-10-2017,11-24-2017,ended
"\""Lords of Hellas\"" Audio: Official Product by Darkraven Games",3000,live,USD,01-11-2018,lords-of-hellas-audio-official-product-by-darkrave,Tabletop Games,Boynton Beach FL,19,0,0,8,12-21-2017,1,87,4138,0,0,0,12-21-2017,01-11-2018,ended
Solaris SciFi Solar System RPG Audio Package,2000,live,USD,11-29-2017,solaris-scifi-solar-system-rpg-audio-package,Tabletop Games,Boynton Beach FL,39,0,0,0,11-22-2017,1,38,2811,0,0,0,11-08-2017,11-29-2017,ended
The Gold Star Challenge!,9144,live,USD,02-03-2018,the-gold-star-challenge,Tabletop Games,Brainerd MN,0,0,0,0,01-04-2018,0,3,108,0,1,0,01-03-2018,02-02-2018,ended
Adventure on Demand Start up,1500,live,USD,12-26-2017,adventure-on-demand-start-up,Tabletop Games,Bremerton WA,30,0,0,0,11-22-2017,0,0,0,0,0,0,10-27-2017,12-26-2017,ended
Santa CHAOS - Magnetic modular miniatures Fantasy Football,3000,live,EUR,01-03-2018,santa-chaos-magnetic-modular-miniatures-fantasy-fo,Tabletop Games,Brescia Italy,69,0,1,0,12-08-2017,1,31,3021,0,0,0,12-08-2017,01-03-2018,ended
BattleMats: Dragon's Dungeon Lair Giant RPG Encounter Mat,300,live,GBP,02-13-2018,battlemats-dragons-dungeon-lair-giant-rpg-encounte,Tabletop Games,Brighton and Hove City UK,2,0,0,1,01-30-2018,1,207,3539,0,0,0,01-30-2018,02-13-2018,ended
Ian Brody's SHAEF,10000,live,GBP,02-07-2018,ian-brodys-shaef,Tabletop Games,Brighton and Hove City UK,48,0,0,2,01-22-2018,1,202,10751,0,0,0,01-22-2018,02-07-2018,ended
Richard Borg's The Great War: French Army expansion,12000,live,GBP,11-30-2017,richard-borgs-the-great-war-french-army-expansion,Tabletop Games,Brighton and Hove City UK,45,0,1,81,11-13-2017,1,1085,91200,0,0,0,11-13-2017,11-30-2018,ended
Last One In A Modular Zombie Card Game,10000,live,GBP,01-06-2018,last-one-in-a-modular-zombie-card-game,Tabletop Games,Brighton UK,16,0,0,5,11-17-2017,0,114,3273,3,5,12,11-17-2017,01-06-2018,ended
ANDice - The World's First Series of Ancient Numerical Dice,3700,live,AUD,02-07-2018,andice-the-worlds-first-series-of-ancient-numerica,Tabletop Games,Brisbane AU,28,0,0,4,01-08-2018,1,509,15690,0,0,0,01-08-2018,02-07-2018,ended
Fantasy Music for your DnD Campaign Vol.1,50,live,AUD,12-16-2017,fantasy-music-for-your-dnd-campaign-vol1,Tabletop Games,Brisbane AU,15,0,1,2,11-16-2017,1,43,531,0,0,0,11-15-2017,12-16-2018,ended
STONEHENGE MINIATURES,999,live,GBP,11-27-2017,stonehenge-miniatures,Tabletop Games,Bristol UK,4,0,2,0,11-22-2017,0,6,463,0,3,0,10-27-2017,11-27-2017,ended
The City of Games 2018: A Board Game Convention in Bristol,3000,live,GBP,12-01-2017,the-city-of-games-2018-a-board-game-convention-in,Tabletop Games,Bristol UK,0,5,4,99,11-22-2017,1,301,6445,0,0,0,11-07-2017,12-01-2017,ended
Space Race â€“ Interkosmos,19000,live,EUR,12-07-2017,space-race-interkosmos,Tabletop Games,Brno Czech Republic,54,1,2,21,11-14-2017,1,1778,69625,0,0,0,11-14-2017,12-07-2018,ended
Warmonger: The Ultimate Card Game of War for 1-4 Players,20,live,USD,12-08-2017,warmonger-the-ultimate-card-game-of-war-for-1-4-pl,Tabletop Games,Bronx NY,38,0,0,2,11-22-2017,1,19,417,0,0,0,11-06-2017,12-07-2018,ended
Battles Of Bloria Card Game: Monsters VS Millennials,5000,live,USD,12-16-2017,battles-of-bloria-card-game-monsters-vs-millennial,Tabletop Games,Brooklyn NY,25,0,0,0,11-16-2017,0,40,1885,0,2,1,11-16-2017,12-16-2018,ended
Side Effects,12000,live,USD,12-07-2017,side-effects,Tabletop Games,Brooklyn NY,20,4,8,160,11-22-2017,1,2776,81426,0,0,0,11-07-2017,12-07-2018,ended
WarLayer 3D Printable Terrain: Orbital Drop,500,live,USD,01-18-2018,warlayer-3d-printable-terrain-orbital-drop,Tabletop Games,Brooklyn NY,70,0,1,8,12-03-2017,1,321,17836,0,0,0,12-03-2017,01-17-2018,ended
Whats Your Story - Back Alley Stories,12000,live,USD,01-08-2018,whats-your-story-back-alley-stories,Tabletop Games,Brooklyn NY,22,0,0,0,11-17-2017,0,14,1731,0,1,1,11-17-2017,12-04-2018,ended
Those Dam Goblins!,1200,live,USD,12-16-2017,those-dam-goblins,Tabletop Games,Brownfield ME,7,0,0,0,12-02-2017,1,125,3106,0,0,0,12-02-2017,12-16-2018,ended
Memes The Board Game,1000,live,EUR,01-29-2018,memes-the-board-game,Tabletop Games,Brussels Belgium,55,0,0,0,11-30-2017,0,5,261,0,1,2,11-30-2017,12-23-2017,ended
Mr. Pink Pants,10000,live,EUR,01-13-2018,mr-pink-pants,Tabletop Games,Brussels Belgium,10,0,0,0,12-04-2017,0,5,126,0,0,0,12-04-2017,12-29-2017,ended
270 TO WIN,12000,live,GBP,01-19-2018,270-to-win,Tabletop Games,Bucharest Romania,5,0,0,0,12-20-2017,0,8,577,0,0,3,12-20-2017,01-19-2018,ended
Chronicles of Frost,12000,live,USD,11-23-2017,chronicles-of-frost,Tabletop Games,Bucharest Romania,57,0,15,458,11-22-2017,1,1075,57611,0,0,0,10-31-2017,11-23-2018,ended
Paladin Card Protection: Season 2,20000,live,USD,12-21-2017,paladin-card-protection-season-2,Tabletop Games,Bucharest Romania,50,0,2,109,11-29-2017,1,1927,153859,0,0,0,11-29-2017,12-21-2018,ended
Bombs Away,9000,live,USD,02-18-2018,bombs-away,Tabletop Games,Burlington VT,15,0,0,1,01-13-2018,1,125,9703,0,0,0,01-13-2018,02-17-2018,ended
Fantasy Football Bret and humans Norba Miniatures,2000,live,EUR,01-11-2018,fantasy-football-bretons-norbaminiatures,Tabletop Games,Caceres Spain,65,0,0,4,12-17-2017,1,46,3205,0,0,0,12-17-2017,01-11-2018,ended
CACHET - Cash or Crash!,10000,live,CAD,12-23-2017,cachet-the-game-cash-or-crash-leave-your-mark-on-h,Tabletop Games,Calgary Canada,25,0,0,0,11-27-2017,1,50,11145,0,0,0,11-27-2017,12-23-2018,ended
Harwood Hobbies Presents The Devolved - 28mm Miniatures,1500,live,CAD,12-31-2017,harwood-hobbies-presents-the-devolved-28mm-miniatu,Tabletop Games,Calgary Canada,17,0,0,1,12-07-2017,0,23,1138,0,1,6,12-07-2017,12-31-2018,ended
Operators RPG,8000,live,CAD,11-30-2017,operators-rpg,Tabletop Games,Calgary Canada,15,0,3,17,11-22-2017,1,182,8062,0,0,0,11-01-2017,11-30-2018,ended
Resilience: 5-6 Player Expansion Board Game,5000,live,CAD,02-01-2018,resilience-5-6-player-expansion-board-game,Tabletop Games,Calgary Canada,0,0,0,0,01-01-2018,0,0,0,0,0,0,01-01-2018,01-01-2018,ended
Watch The Match (WTM),20000,live,CAD,02-27-2018,watch-the-match-wtm,Tabletop Games,Calgary Canada,20,0,0,0,01-30-2018,0,4,125,0,0,0,01-30-2018,01-31-2018,ended
Tripods & Triplanes The War of the Worlds in Wings of Glory,30000,live,USD,12-20-2017,tripods-and-triplanes-the-war-of-the-worlds-in-win,Tabletop Games,Camaiore Italy,80,0,0,83,11-28-2017,1,915,119317,0,0,0,11-28-2017,12-20-2017,ended
Hives & Honeycombs - The board game,10000,live,GBP,12-21-2017,hives-and-honeycombs-the-board-game,Tabletop Games,Cambridge UK,15,0,1,0,11-21-2017,0,158,3568,0,6,24,11-21-2017,12-21-2018,ended
Off the Beaten Path Desert Excursions,500,live,USD,02-19-2018,off-the-beaten-path-desert-excursions-0,Tabletop Games,Canaan CT,6,3,1,3,02-09-2018,1,130,1235,0,0,0,02-09-2018,02-19-2018,ended
28mm Unarmoured Marine Squads,1500,live,AUD,02-05-2018,28mm-unarmoured-marine-squads,Tabletop Games,Canberra AU,0,1,1,0,01-15-2018,1,93,5522,0,0,0,01-15-2018,02-05-2018,ended
Happy Hour,10000,live,AUD,12-28-2017,happy-hour-0,Tabletop Games,Canberra AU,32,0,0,0,11-27-2017,0,0,0,0,1,0,11-27-2017,12-05-2017,ended
Lunch Time Legends - Happy Hour,10000,live,AUD,01-11-2018,lunch-time-legends-happy-hour,Tabletop Games,Canberra AU,27,0,0,0,12-12-2017,0,2,84,0,0,0,12-12-2017,01-11-2018,ended
DestinyQuest IV: The Raiders of Dune Sea,8000,live,EUR,02-11-2018,destinyquest-iv-the-raiders-of-dune-sea,Tabletop Games,Cannes France,30,0,0,19,01-06-2018,1,481,20935,0,0,0,01-06-2018,02-11-2018,ended
The GUVNOR - A criminally good card game for 2 - 8 players,7500,live,GBP,12-15-2017,the-guvnor-a-criminally-good-card-game-for-2-8-pla,Tabletop Games,Canterbury UK,3,0,0,4,11-14-2017,0,50,794,2,2,7,11-14-2017,12-15-2017,ended
Gem Expedition,41190,live,USD,12-17-2017,gem-expedition,Tabletop Games,Cape Coral FL,25,0,0,3,11-16-2017,0,16,2055,0,0,4,11-16-2017,12-16-2017,ended
Freyja's Wrath: Dark Age & Fantasy 28mm Shieldmaidens,4500,live,GBP,02-06-2018,freyjas-wrath-dark-age-and-fantasy-28mm-shieldmaid,Tabletop Games,Cardiff UK,38,0,1,35,01-23-2018,1,574,36625,0,0,0,01-23-2018,02-06-2018,ended
President Bigly,1000,live,USD,02-09-2018,president-bigly,Tabletop Games,Carmel-by-the-Sea CA,25,0,0,0,01-03-2018,1,41,2725,0,0,0,01-03-2018,02-09-2018,ended
On the Shoulders of Heroes - Reborn,4000,live,EUR,02-21-2018,on-the-shoulders-of-heroes-reborn,Tabletop Games,Castricum Netherlands,15,0,0,0,01-22-2018,1,110,5458,0,0,0,01-22-2018,02-21-2018,ended
Bastille: Fallen Kingdoms Volume 1,50000,live,USD,02-27-2018,bastille-fallen-kingdoms-volume-1,Tabletop Games,Cedar Park TX,10,2,1,2,12-29-2017,0,3,305,2,4,3,12-28-2017,02-19-2018,ended
The Fade Tabletop 2nd Edition,1000,live,USD,12-07-2017,the-fade-tabletop-2nd-edition,Tabletop Games,Center Barnstead NH,10,0,3,0,11-22-2017,0,9,70,0,4,0,10-07-2017,12-01-2018,ended
Flash Gordonâ„¢ RPG for Savage Worlds,15000,live,USD,12-05-2017,flash-gordontm-rpg-for-savage-worlds,Tabletop Games,Chandler AZ,20,0,0,25,11-21-2017,1,1027,109892,0,0,0,11-21-2017,12-04-2018,ended
Waters of Nereus / Cosmic Run: Regeneration,35000,live,USD,03-18-2018,waters-of-nereus-cosmic-run-regeneration,Tabletop Games,Chappaqua NY,42,0,1,22,02-26-2018,0,174,12565,0,3,37,02-26-2018,02-28-2018,ended
Sun Rush: Strategy Board Game,1500,live,USD,12-06-2017,sun-rush-strategy-board-game,Tabletop Games,Chattanooga TN,10,0,3,1,11-22-2017,1,47,3386,0,0,0,11-06-2017,12-06-2018,ended
'My Imagination' Build Your Own Junior Card Game,10000,live,GBP,12-25-2017,my-imagination-build-your-own-junior-card-game,Tabletop Games,Chelmsford UK,8,0,0,0,11-25-2017,0,12,188,0,1,0,11-25-2017,12-25-2017,ended
Weekend in Rokugan convention 2018,4000,live,USD,02-10-2018,weekend-in-rokugan-convention-2018,Tabletop Games,Chesterfield MO,20,0,1,1,01-18-2018,1,62,6000,0,0,0,01-18-2018,02-09-2018,ended
265 BCE - Conquer the World,5250,live,USD,01-26-2018,265-bce-conquer-the-world,Tabletop Games,Chicago IL,0,0,0,0,12-12-2017,0,7,49,0,0,20,12-12-2017,01-26-2018,ended
"6' x 4' RPG \""Mountain Pass\"" Battle Grid",2500,live,USD,02-21-2018,6-x-4-rpg-mountain-pass-battle-grid,Tabletop Games,Chicago IL,15,0,0,0,01-22-2018,0,7,91,0,0,0,01-22-2018,02-21-2018,ended
A Woman With Hollow Eyes,6000,live,USD,12-13-2017,a-woman-with-hollow-eyes,Tabletop Games,Chicago IL,25,0,0,12,11-14-2017,1,367,10881,0,0,0,11-14-2017,12-12-2017,ended
Cliques,100,live,USD,01-23-2018,cliques,Tabletop Games,Chicago IL,40,4,0,0,01-16-2018,1,2,143,0,0,0,01-16-2018,01-23-2018,ended
Deadly Concoctions,100,live,USD,02-02-2018,deadly-concoctions,Tabletop Games,Chicago IL,40,0,0,0,01-26-2018,1,6,403,0,0,0,01-26-2018,02-02-2018,ended
Gone... In 61 Seconds,100,live,USD,11-13-2017,gone-in-61-seconds-0,Tabletop Games,Chicago IL,30,4,0,6,11-10-2017,1,22,898,0,0,0,11-10-2017,11-12-2017,ended
Goodbye Ghosts,100,live,USD,11-15-2017,goodbye-ghosts-0,Tabletop Games,Chicago IL,30,5,0,2,11-13-2017,1,15,545,0,0,0,11-13-2017,11-15-2017,ended
Herbalism,10000,live,USD,02-22-2018,herbalism,Tabletop Games,Chicago IL,59,3,0,14,01-30-2018,1,861,40485,0,0,0,01-30-2018,02-21-2018,ended
Into the Sea,250,live,USD,12-08-2017,into-the-sea-0,Tabletop Games,Chicago IL,30,5,0,1,12-06-2017,1,13,417,0,0,0,12-06-2017,12-08-2017,ended
KAPOW! - A fast and furious Superhero dice building game,20000,live,USD,12-01-2017,kapow-a-fast-and-furious-superhero-dice-building-g,Tabletop Games,Chicago IL,39,0,7,123,11-22-2017,1,294,22555,0,0,0,11-01-2017,11-30-2017,ended
Kill Them All!,250,live,USD,12-30-2017,kill-them-all-0,Tabletop Games,Chicago IL,0,0,0,1,12-27-2017,1,7,265,0,0,0,12-27-2017,12-29-2017,ended
L'il Musa Miniature & Minicomic,3500,live,USD,01-02-2018,lil-musa-miniature-and-minicomic,Tabletop Games,Chicago IL,5,0,1,2,12-18-2017,1,59,3505,0,0,0,12-18-2017,01-02-2018,ended
Make 100 Custom Dice Boxes for Gamers,500,live,USD,02-13-2018,make-100-custom-dice-boxes-for-gamers,Tabletop Games,Chicago IL,25,0,0,0,01-14-2018,1,24,2289,0,0,0,01-14-2018,02-13-2018,ended
Murderopolis,250,live,USD,12-06-2017,murderopolis-0,Tabletop Games,Chicago IL,30,4,1,4,12-04-2017,1,31,1167,0,0,0,12-04-2017,12-06-2018,ended
NumRush - The Thrilling Math Racing Game from Vietnam,29000,live,USD,12-07-2017,numrush-the-thrilling-math-racing-game-from-vietna,Tabletop Games,Chicago IL,29,0,0,0,11-22-2017,0,34,1292,0,1,1,11-07-2017,12-06-2017,ended
Outfoxed!,100,live,USD,01-09-2018,outfoxed,Tabletop Games,Chicago IL,40,4,0,0,01-02-2018,1,19,1184,0,0,0,01-02-2018,01-09-2018,ended
Polyhedral Dice Ties,1000,live,USD,01-21-2018,polyhedral-dice-ties,Tabletop Games,Chicago IL,30,0,0,3,12-21-2017,1,145,4303,0,0,0,12-21-2017,01-20-2018,ended
Puppers & Doggos,100,live,USD,02-26-2018,puppers-and-doggos,Tabletop Games,Chicago IL,40,4,0,0,02-19-2018,1,10,353,0,0,0,02-19-2018,02-26-2018,ended
Super Fun Awesome Time,250,live,USD,12-24-2017,super-fun-awesome-time-0,Tabletop Games,Chicago IL,50,2,0,0,12-22-2017,1,9,1590,0,0,0,12-22-2017,12-24-2018,ended
The Giant Meeple Project - Make/100,500,live,USD,02-24-2018,the-giant-meeple-project-make-100,Tabletop Games,Chicago IL,40,0,0,1,01-24-2018,1,62,4361,0,0,0,01-24-2018,02-23-2018,ended
The Bantam Alley - Wargaming Terrain Extras,14500,live,GBP,11-25-2017,the-bantam-alley-wargaming-terrain-extras,Tabletop Games,Cieszyn Poland,27,1,8,31,11-22-2017,0,82,13359,1,9,32,10-31-2017,11-25-2017,ended
32mm Fantasy miniatures,2500,live,USD,02-06-2018,32mm-fantasy-miniatures,Tabletop Games,Cincinnati OH,15,0,1,8,01-12-2018,1,253,9244,0,0,0,01-12-2018,02-06-2018,ended
AVA Starship,17000,live,USD,12-31-2017,ava-starship,Tabletop Games,Cincinnati OH,35,0,0,0,11-26-2017,0,50,8711,0,0,5,11-26-2017,12-30-2017,ended
Masters and Minions: A 5th Edition Supplement,16000,live,USD,12-30-2017,masters-and-minions-a-5th-edition-supplement,Tabletop Games,Cincinnati OH,15,0,0,4,11-21-2017,1,1214,49649,0,0,0,11-21-2017,12-29-2018,ended
VITAL HEARTS: Isekai Tabletop Role-Play in Augmented Reality,3125,live,USD,02-20-2018,vital-hearts-isekai-tabletop-role-play-in-augmente,Tabletop Games,Cincinnati OH,19,3,0,4,01-17-2018,1,258,10703,0,0,0,01-17-2018,02-20-2018,ended
WARbles - Marbles at War!,10000,live,USD,11-29-2017,warbles-marbles-at-war,Tabletop Games,Cincinnati OH,50,0,0,2,11-22-2017,0,2,150,0,0,6,10-29-2017,11-28-2017,ended
Wooden d6 Dice,500,live,USD,12-20-2017,wooden-d6-dice,Tabletop Games,Cincinnati OH,15,2,1,9,11-22-2017,1,33,1056,0,0,0,10-21-2017,12-20-2017,ended
OR?! - A Modern 'Would You Rather' Style Party Game,12900,live,AUD,12-16-2017,or-a-modern-would-you-rather-style-party-game,Tabletop Games,City of Gold Coast AU,36,0,0,2,11-16-2017,0,31,1342,0,4,5,11-16-2017,12-16-2017,ended
Viceroy: Times of Darkness Expansion,10000,live,USD,03-03-2018,viceroy-times-of-darkness-expansion,Tabletop Games,Clearfield UT,20,3,1,40,02-09-2018,0,1430,31085,3,4,131,02-08-2018,02-22-2018,ended
Project ALPACA,2500,live,USD,02-22-2018,project-alpaca,Tabletop Games,Clemson SC,5,5,1,3,01-18-2018,1,74,3085,0,0,0,01-18-2018,02-22-2018,ended
Scenic Flock and Basing Materials,1500,live,USD,12-08-2017,scenic-flock-and-basing-materials,Tabletop Games,Cleveland OH,9,0,3,17,11-22-2017,1,97,4299,0,0,0,11-08-2017,12-08-2018,ended
The Blood Plague: D&D5E Dark Fantasy Adventure,3000,live,GBP,12-31-2017,the-blood-plague-dandd5e-dark-fantasy-adventure,Tabletop Games,Colchester UK,20,2,0,2,12-01-2017,1,204,4199,0,0,0,12-01-2017,12-31-2017,ended
Basira - Create and share your own tabletop-game,85000,live,EUR,01-07-2018,basira-create-and-share-your-own-tabletop-game,Tabletop Games,Cologne Germany,20,0,0,0,12-04-2017,0,4,309,0,0,0,12-04-2017,12-06-2017,ended
RPG Tablecloth II â€“ An Innovative Battleground,5000,live,EUR,12-08-2017,rpg-tablecloth-ii-an-innovative-battleground,Tabletop Games,Cologne Germany,40,0,7,37,11-22-2017,1,133,11021,0,0,0,11-08-2017,12-08-2018,ended
Modular Space Walls for 28mm WarGaming,500,live,USD,02-04-2018,modular-space-walls-for-28mm-wargaming,Tabletop Games,Columbia MO,5,0,0,1,01-05-2018,0,10,351,0,3,2,01-05-2018,02-04-2018,ended
Darwinning!,8000,live,USD,02-10-2018,darwinning,Tabletop Games,Columbia SC,10,0,0,3,01-20-2018,0,25,822,0,1,7,01-20-2018,01-21-2018,ended
Crab Dash!,5400,live,USD,02-18-2018,crab-dash-a-hermit-crab-racing-betting-board-game,Tabletop Games,Columbus OH,34,0,0,2,01-18-2018,0,61,2018,0,4,4,01-18-2018,02-17-2018,ended
Gunfights & Gamblin'!,15000,live,USD,12-10-2017,gunfights-and-gamblin-0,Tabletop Games,Columbus OH,15,0,0,5,11-10-2017,0,39,1385,0,7,17,11-09-2017,12-09-2017,ended
Infinite Galaxies Core Rules,6000,live,USD,02-07-2018,infinite-galaxies-core-rules,Tabletop Games,Columbus OH,15,0,0,1,01-08-2018,1,207,6720,0,0,0,01-08-2018,02-07-2018,ended
Mischief Media: The Game of Fake News,15000,live,USD,12-12-2017,mischief-media-the-game-of-fake-news,Tabletop Games,Columbus OH,9,0,0,5,11-22-2017,0,69,3888,0,0,6,11-06-2017,12-11-2017,ended
The Shame Game,25000,live,USD,12-24-2017,the-shame-game,Tabletop Games,Columbus OH,25,1,0,0,11-19-2017,0,64,4880,8,1,0,11-19-2017,12-23-2017,ended
Thief's End,7000,live,USD,12-04-2017,thiefs-end,Tabletop Games,Columbus OH,25,7,0,0,11-22-2017,0,2,26,7,0,0,11-09-2017,12-04-2017,ended
Canon Fodder: The Game of Fandom and Charades,6000,live,USD,02-28-2018,canon-fodder-the-game-of-fandom-and-charades,Tabletop Games,Concord NH,20,0,0,0,01-23-2018,0,3,37,0,1,0,01-23-2018,02-28-2018,ended
Twisted Christmas: Summoning the Krampus!,100,live,GBP,12-01-2017,twisted-christmas-summoning-the-krampus,Tabletop Games,Conwy County Borough UK,10,0,1,4,11-17-2017,1,66,1772,0,0,0,11-16-2017,11-30-2018,ended
Show & Tile - a creative party game,10000,live,USD,03-01-2018,show-and-tile-a-creative-party-game,Tabletop Games,Coral Springs FL,29,0,0,14,01-30-2018,1,242,10878,0,0,0,01-30-2018,02-28-2018,ended
Elder-Forge tier 1,900,live,EUR,01-31-2018,elder-forge-tier-1,Tabletop Games,Cortona Italy,35,0,0,3,12-02-2017,1,53,3418,0,0,0,12-02-2017,01-31-2018,ended
Wyrmkeep Dungeons BW3: The Beast Below a 5e DnD Adventure,300,live,USD,12-21-2017,wyrmkeep-dungeons-bw3-the-beast-below-a-5e-dnd-adv,Tabletop Games,Costa Mesa CA,5,0,1,6,11-27-2017,1,108,2223,0,0,0,11-27-2017,12-21-2018,ended
A Far Off Land A Fate RPG in Two Worlds,4000,live,USD,11-26-2017,a-far-off-land-a-fate-rpg-in-two-worlds,Tabletop Games,Cotati CA,18,11,12,11,11-22-2017,1,185,4641,0,0,0,10-24-2017,11-26-2018,ended
Atlantis Miniatures: Mythology,12000,live,GBP,12-11-2017,mythology,Tabletop Games,Coventry UK,18,0,1,51,11-20-2017,1,509,41731,0,0,0,11-20-2017,12-10-2018,ended
Troika! Initiative Cards,500,live,GBP,02-28-2018,troika-initiative-cards,Tabletop Games,Dagenham UK,10,0,0,0,02-07-2018,1,89,698,0,0,0,02-07-2018,02-28-2018,ended
Critical Hit & Fumble Dice,4000,live,USD,11-29-2017,critical-hit-and-fumble-dice,Tabletop Games,Dallas TX,10,0,7,80,11-22-2017,1,748,14912,0,0,0,10-26-2017,11-28-2018,ended
My Cats My Dogs and Me,10000,live,USD,12-28-2017,my-cats-my-dogs-and-me,Tabletop Games,Dallas TX,10,0,0,0,11-28-2017,0,18,1167,0,2,0,11-28-2017,12-28-2017,ended
New Cinelinx Decks: The Best Movie Trivia Game Gets Better,6500,live,USD,12-21-2017,new-cinelinx-decks-the-best-movie-trivia-game-gets,Tabletop Games,Dallas TX,20,0,0,10,11-30-2017,1,170,7401,0,0,0,11-30-2017,12-21-2018,ended
The Widow's Tear: Cosmic Horror For Starfinder (Revised),7000,live,USD,01-31-2018,the-widows-tear-cosmic-horror-for-starfinder-revis,Tabletop Games,Dallas TX,15,0,0,15,01-03-2018,1,455,14741,0,0,0,01-03-2018,01-31-2018,ended
Paper Adventure: A FUN way for the whole family to game!,25,live,USD,11-28-2017,paper-adventure-a-fun-way-for-the-whole-family-to-0,Tabletop Games,Daphne AL,0,0,0,1,11-19-2017,1,40,173,0,0,0,11-19-2017,11-28-2018,ended
Paper Adventure: Holiday Game FUN For The Family!,25,live,USD,12-10-2017,paper-adventure-holiday-game-fun-for-the-family,Tabletop Games,Daphne AL,0,0,0,3,12-02-2017,1,58,111,0,0,0,12-02-2017,12-10-2017,ended
Metal Gaming Coins: The Fantasy Series by D20 Collective,4500,live,USD,02-24-2018,metal-gaming-coins-the-fantasy-series-by-d20-colle,Tabletop Games,Davenport IA,11,0,0,0,01-30-2018,1,403,17095,0,0,0,01-30-2018,02-24-2018,ended
Loot N Shoot,25000,live,USD,03-01-2018,loot-n-shoot,Tabletop Games,Davie FL,49,0,0,5,01-30-2018,0,223,13554,0,6,32,01-30-2018,02-28-2018,ended
RPG Tools - RPG/Wargame 3D printable items,500,live,USD,12-10-2017,rpg-tools-rpg-wargame-3d-printable-items,Tabletop Games,De Pere WI,0,0,0,2,11-13-2017,1,282,16489,0,0,0,11-13-2017,12-10-2018,ended
RPG Dice Enamel Lapel Pins and Magnet Sets for Gamers,500,live,USD,12-13-2017,rpg-dice-lapel-pins-and-magnet-sets-for-gamers,Tabletop Games,Decatur IL,50,0,0,1,11-14-2017,1,74,2197,0,0,0,11-14-2017,12-12-2017,ended
Hermetica,25000,live,USD,02-08-2018,hermetica,Tabletop Games,Denver CO,40,9,0,21,01-09-2018,1,678,33361,0,0,0,01-09-2018,02-08-2018,ended
NuÃ†ther - Mechanix Mutations & Magic,750,live,USD,12-21-2017,nuther-mechanix-mutations-and-magic,Tabletop Games,Denver CO,5,0,1,2,11-21-2017,1,68,1196,0,0,0,11-21-2017,12-21-2018,ended
Odd Orchard,50505,live,USD,12-26-2017,odd-orchard,Tabletop Games,Denver CO,11,0,0,0,11-22-2017,0,1,22,0,0,0,11-22-2017,12-25-2017,ended
Boards and Swords Gaming Venue,1000,live,GBP,01-24-2018,boards-and-swords-gaming-venue,Tabletop Games,Derby UK,5,0,1,2,12-27-2017,1,94,2068,0,0,0,12-27-2017,01-24-2018,ended
